texto_limpo,label
ibope abílio emanuel empate técnico liderança cuiabá,1.0
oms risco desabastecimento remédios,1.0
boticário perfume malbec sport dia pais compartilhar link whatsapp boato,0.0
medir provisório suspender pagamento aposentadoria idoso flagrar ruir,0.0
descobriu aryane campos entregou faca adélio atacar bolsonaro boato,0.0
bolsonaro recria comitê gestor desenvolvimento sustentável xingu,1.0
infecção vírus sarampo destrói memória imunológica organismo aponta estudo harvard,1.0
consórcio covax avisa saúde vai atrasar entrega vacinas,1.0
reforma previdência acabou seguro desemprego pis licença aposentadorias boato,0.0
avião fab passa torres congresso nacional boato,0.0
chefe fuzileiros navais repreendeu pelosi devido posse presidencial eua,0.0
casas bahia sorteia prêmios diários site whatsapp causa black friday boato,0.0
fake mistura vinagre maçã alho cure covid,0.0
mourão traidor imaginário infiltrado inpe,1.0
parentes homem atacou bolsonaro trabalharam petista,0.0
fake witzel mandou recolher remédio teste contra covid farmácias,0.0
foto mostrar homem beijar umar criança formar suspeito joe biden,0.0
todos surtos virais começaram china outros registrados período,0.0
stf virou réu vídeo mostra abertura processo censurado youtube boato,0.0
preso operação pai gêmeas furaram fila vacinação,1.0
fake vídeo mostre ação praia após descumprimento isolamento social,0.0
bolsonaro ironiza imprensa sobre coronavírus fazendo aqui,1.0
coronavírus eua gráficos mostram pandemia covid controlada,1.0
falso jogador dinamarquês vacinado antes mal súbito,0.0
médico tira contexto dados estudo sugerir máscaras ineficientes,0.0
uso máscaras obrigatório após aprovação lei boato,0.0
vídeo carreata pró bolsonaro viraliza mostrasse ato contra presidente,0.0
homem coronavírus mundo diz escritor cubano leonardo padura,1.0
fake william shakespeare primeiro vacinado contra covid reino unido morreu causa vacina,0.0
resposta coluna sobre eleições prudente deixar urna fale,1.0
oms vai recomendar oficialmente ivermectina tratar covid boato,0.0
fake foto mostre corpos idosos covid vítimas eutanásia,0.0
máscaras auxiliam combate covid contrário diz influenciador,0.0
falso tse atualizou apuração baseado informações site notícias,0.0
pedir governadores cpi batedor carteira grita pega ladrão diz flávio dino,1.0
frança aproxima mortes coronavírus,1.0
existe nenhum processo contra oms pulverizar químico causa pneumonia,0.0
economia confirma saída amaro gomes secretaria entrada ricardo faria,1.0
gatar aparecer foto esconder dobermans verdade,0.0
prejuízos pandemia psg pode renovar thiago silva,1.0
cadastro auxílio emergencial liberado governo site whatsapp boato,0.0
primeiros médicos cubanos embora policiais cubanos boato,0.0
regina duarte escreve carta artistas assinaram nota repúdio boato,0.0
bolsonaro vai hospital brasília diz motivo,1.0
governo iniciou cadastro programa auxílio gás site whatsapp boato,0.0
mulher morre após teste clandestino cloroquina nebulizada manaus,1.0
secretário isolamento menor pico covid maio cidade,1.0
fake país registrou nenhum caso dengue,0.0
texto exagera impacto covid resultado eleitoral ceará,0.0
defensoria pede stj saída urgente sérgio camargo comando fundação palmares,1.0
fake hebraica excesso vacinas contra covid doses prestes vencer,0.0
fechamentos zara demissões nike falência victoria secret todos dados verdadeiros,0.0
saúde agiliza processo aquisição vacinas covaxin sputnik,1.0
celso mello aposentou invalidez stf pagar imposto renda boato,0.0
governo prevê maior orçamento defesa educação,1.0
marcelo freixo paga mil aluguel apartamento rio janeiro boato,0.0
mortes manaus caíram bolsonaro mandou teich visitar hospitais amazonas descobrir caixões pedras boato,0.0
extraterrestres deixam marcas rio quaraí divisa brasil uruguai boato,0.0
marielle tirou foto assassinos mangueira boato,0.0
premier league risco lesões atletas volta maior diz estudo,1.0
empréstimo microempresa quais taxas prazos veja sabe,1.0
infecção variação rara vírus gripe identificada norte paraná diz oms,1.0
portas fechadas lojas mantêm vendas zap mediadores,1.0
covid entidade orienta sobre vacinação pacientes reumáticos,1.0
boulos diz adversário defende projeto esquerda renovado,1.0
juiz investiga caso suspeito variante indiana minas gerais,1.0
falso repasses verbas estados relacionados número mortos infectados,0.0
relatora stf vota barrar produção dossiês sobre antifascistas,1.0
fato fake ano pandemia mil checagens realizadas,0.0
haddad diz lula presidência solução crise coronavírus boato,0.0
merkel adverte alemães momentos difíceis vão continuar,1.0
george soros disse vai derrubar eua financiando grupos ódio negros boato,0.0
reunião salles critica postura brasil meio ambiente,1.0
luana araújo contra uso máscaras combate covid boato,0.0
reinaldo azevedo bolsonaristas batem petistas,1.0
whatsapp oms lançam figurinhas apoio vacinação contra covid,1.0
fake vacinas contenham ímãs causem magnetismo,0.0
assunto vai responsabilizado erros pandemia,1.0
melissa dando mil pares sandálias grátis site whatsapp boato,0.0
investimento vacina barato prorrogar auxílio diz presidente,1.0
ministros impediram uso hidroxicloroquina processados frança boato,0.0
candidato diz ter princípio fazer roubar pouco,1.0
doria protocolo lockdown existe iminente adotado,1.0
hacker prova urnas eletrônicas podem facilmente manipuladas boato,0.0
nego borel lamenta morte tio coronavírus triste,1.0
diário oficial união publica exoneração secretário comércio exterior,1.0
califórnia manifestantes surfistas aglomeram pedindo fim isolamento,1.0
boulos falou obrigar paulistano receber morador rua pandemia,0.0
porta voz presidência otávio rêgo barros covid,1.0
eficácia ivermectina contra covid demonstrada cientificamente,0.0
países américas vão começar receber vacinas covax fim fevereiro diz opas,1.0
site seguradora líder pagamento dpvat hackeado boato,0.0
fake novo coronavírus morre exposto quente secadores cabelo saunas,0.0
vírus continuar circulando livremente risco adaptar melhor aumenta diz brasileiro descobriu nova mutação coronavírus,1.0
radarbox mostra brasil diminuiu número voos enquanto eua china seguem fluxo aéreo normal boato,0.0
pneumonia letal covid surge cazaquistão boato,0.0
lançada trump propagandeada bolsonaro hidroxicloroquina vetada hospitais eua,1.0
exército vai deixar politizar diz general santos cruz,1.0
porta inteligente travesseiro antirronco painel tira água gadgets ces,1.0
retirada estudos prova eficácia cloroquina contra covid,0.0
covid agentes prisões afastados pavilhão isolado,1.0
pai vacina brasileira dimas covas enquadra tropa cloroquina cpi,1.0
sim detidos após incêndio ministérios visto fotos virais,0.0
séries desenhos filhos assistirem dias quarentena,1.0
falso prefeitura comprado mil caixões licitação,0.0
sindicato delegados tenta autorização comprar vacinas,1.0
cada pacientes covid desenvolve doença mental três meses após infecção aponta estudo,1.0
trás ideia onda grande única covid defendida oms,1.0
sentença aponta empresário cometeu estupro culposo caso mariana ferrer boato,0.0
turismo cai carnaval praias ficam cheias,1.0
arnaldo jabor diz bolsonaro cara etiqueta passa gostar boato,0.0
onu planeja todos identidade legal inclui chips,0.0
batalha vista amazon descendentes primeiros sul africanos,1.0
carrefour faz anos brindes grátis whatsapp boato,0.0
covid sabe sobre nova cepa coronavírus áfrica sul,1.0
rio derruba restrição prioridades vacinação,1.0
fake vacinas contra novo coronavírus possam gerar seres geneticamente modificados,0.0
eua encontraram cura novo coronavírus após teste hospital stanford boato,0.0
vacinação massa criará novas variantes covid acabar sistema imunológico destruir humanidade boato,0.0
csn decide paralisar alto forno usina,1.0
catedral notre dame reformada telhado estilo moderno boato,0.0
prefeito instalar umar câmera parir gravar fantasma flagrar traição esposo,0.0
dilúvio china matou mil pessoas túnel jingguang boato,0.0
governo prorroga prazo pagamento auxílio setor cultural,1.0
procurador lava jato centro deve unir turno nome,1.0
fake foto mostre doria máscara almoço equipe após anúncio medidas rígidas pandemia,0.0
nicotina poderia arma contra covid,1.0
mourão publicou post dizendo começou incomodar governo bolsonaro,0.0
tite diz entrevista eleitores bolsonaro alienados boato,0.0
moro imparcial coordenou própria acusação diz advogado lula,1.0
povo europeu joga máscaras lixo nega usá las contra covid boato,0.0
alvo governista compra frustrada respiradores alagoas pode investigada cpi covid,1.0
pandemia pode levar milhões meninas casar alerta unicef,1.0
papa dirige benção especial funcionários empresas comunicação,1.0
cidade onde bolsonaro criou quilombola enfrentando centrão,1.0
homem enterrado vivo ficou dias túmulo sobreviveu boato,0.0
teste rápido barato rastreia mutações coronavírus país,1.0
morre argentina primeira vítima novo coronavírus américa latina,1.0
ibope manuela ávila sai melhor jovens negros faculdade,1.0
corintiano oferecer umar noite suar esposo trocar ingresso,0.0
médica brasileira oms prevê menos ano pandemia critica ingerência brasil,1.0
bolsonaro considera criar ministérios aliados comandos câmara senado,1.0
residência médica saúde pede comissões fiquem atentas envio monitoramento mensal profissionais,1.0
fox news diz bolsonaro sofrer golpe eua vão intervir militar economicamente boato,0.0
brasil registra novas mortes covid soma óbitos,1.0
foto tratores protesto holanda atribuída ato pró bolsonaro,0.0
documento possível supernotificação óbitos causados covid brasil tcu boato,0.0
fake lula doou milhões grupo hamas,0.0
auxílio alimentação três meses dado governo atacadistas brasil site whatsapp boato,0.0
maxaranguape zerou óbitos internações covid tratamento precoce ivermectina boato,0.0
instável brasil corre risco convulsão social aponta índice paz,1.0
fake curitiba adotado medidas distanciamento social registra mortes covid,0.0
presidente mexicano diz rússia fornecerá milhões doses sputnik méxico,1.0
ricardo salles envenenado vítima ecoterrorismo sofreu infarto boato,0.0
cidades paulo têm grupo poder décadas,1.0
psol recorre stf leitos uti privados geridos sus,1.0
alinhado bolsonaro augusto aras mantém rodrigo maia nervoso ano thaís oyama,1.0
homens jovens propensos desrespeitar quarentena mostra estudo,1.0
após aglomeração prefeito quer restringir acesso lagoa pampulha,1.0
votar casar falsar governar federal permitir votação celular,0.0
nova ministra flávia arruda aposta bolsonaro governo,1.0
homem ganha entrega respiradores prometeu tuíte,1.0
brasil leitos uti exclusivos covid habilitados,1.0
cúpula brasil europeus falam fechar mercados desmata,1.0
fake vídeo mostre sistema antimíssil israel faixa gaza,0.0
procurador pede sair grupo trabalho lava jato pgr,1.0
morre bombeiro resgatou quatro sobreviventes brumadinho boato,0.0
fake trump levou susto após ouvir homem gritar allahu akbar,0.0
escola campinas suspende aulas após surto covid pede explicação,1.0
viação itapemirim decreta falência causa quarentena coronavírus boato,0.0
amazon nomeia novo comandante aws empresa computação nuvem,1.0
engordar frio nutricionistas dão dicas manter peso inverno,1.0
hacker tse vivia casa josé dirceu pagava aluguel boato,0.0
wolverine mostra garra supera internação dias covid amapá,1.0
fake foto mostre reprimindo ambulante descumprimento restrições contra covid,0.0
foto apontada balbúrdia estudantil performance sobre holocausto,0.0
fake ator paulo betti fez publicação ataques regina duarte,0.0
ministério saúde diz mil testes analisados laboratórios,1.0
ministros stf deixam rombo itaipu similar rombo petrobras boato,0.0
impressionante veja etapas crianças chinesas entrarem escola,1.0
fake camila pitanga contraiu covid fingiu ter malária tomar cloroquina,0.0
bahrein segundo país aprovar vacina pfizer biontech contra covid,1.0
prefeitura fortalezar elaborar umar cartilha ensinar professorar manipular íntimo bebês,0.0
foto mostra fundadores lupa agência criada censurar direita facebook boato,0.0
macron mandou polícia fechar igreja santa rita paris bater padre boato,0.0
fake foto bolsonaro fazendo gesto obsceno lado exibe documentário democracia vertigem,0.0
governo acabou exame oab conselhos profissionais,0.0
china dona band mandou emissora falar mal eduardo bolsonaro boato,0.0
quatro regiões país têm liminares frear carreatas contra isolamento,1.0
falsar existir boneco chamar cidadão,0.0
bolsonaro usa guerra contra cpi cortina fumaça mil mortos,1.0
brasil mortes casos confirmados coronavírus diz ministério,1.0
brasil casos mortes crianças adolescentes síndrome associada covid desde início pandemia diz ministério,1.0
gerente banco brasil dois doleiros viram réus lava jato organização criminosa corrupção lavagem dinheiro,1.0
redução adicional periculosidade valerá jovens aceitarem seguro opcional,0.0
mpf cobra aéreas esclarecimentos sobre remarcação reembolso voos,1.0
cartórios registram aumento mortes doenças cardiovasculares,1.0
janssen fará reunião dia pedir uso emergencial vacina diz anvisa,1.0
ataque porta fundos forjado fábio porchat boato,0.0
câmara municipal paulo aprova adesão consórcio vacinas,1.0
autoridades reagem disparo fogos artifício direção prédio stf veja repercussão,1.0
copiar colar texto obrigada dica mudar facebook faz ter perfil totalmente novo boato,0.0
mpf vai monitorar compra vacina contra covid governo brasileiro,1.0
boato tira contexto estudo adolescentes eua atacar vacina pfizer,0.0
coisa bolsonaro empresários quer conversar ameaça,1.0
três laboratórios anunciam devem vender vacinas preço custo,1.0
mandetta diz áudio final abril topo epidemia coronavírus boato,0.0
vídeo mostrar morango larva verdade,0.0
morre bebê infectada coronavírus uti maternidade salvador,1.0
damares grava áudio pedindo povo portas quartéis cobrar intervenção militar boato,0.0
venezuelanos presos durante protestos chile mostra foto boato,0.0
fake gastará vacinar população estado vezes governo federal estima gastar todo país,0.0
verdade caso morte covid diminuir sergio morar investigação,0.0
sindicato caixa pagar fila outros bancos ajudar,1.0
médico tratou primeiro caso covid eua teme segunda onda,1.0
vídeo mostrar tricerátops retirar caminhão verdade,0.0
ratinho expulsa xuxa meneghel plateia programa sbt boato,0.0
santos cruz alerta violência eua resultado sociedade dividida,1.0
tesouro lança site relação gastos união combate coronavírus,1.0
apostas esportivas ilegais brasil boato,0.0
empresa informou dificuldades aneel nega falha fiscalização,1.0
vídeo presos comemorando relação anulação condenações lula,0.0
guedes diz ganhou merecidamente eleições após criar bolsa família,1.0
rússia bate recorde casos coronavírus introduz sanções severas,1.0
placa carro utilizada isca bandidos realizarem assaltos boato,0.0
toque recolher holanda gera confrontos polícia saques,1.0
menos mil brasileiros deixaram diagnosticados câncer,1.0
canadá líder global vacinas compradas consegue atingir metas vacinação,1.0
argentina anuncia confisco carros cidadãos país povo protesta boato,0.0
fake foto mostre sargento preso espanha mesa bolsonaro,0.0
impossível vacina cause alterações genéticas dizem especialistas,0.0
fake imagem mostre chefe campanha joe biden sendo preso fraude eleitoral,0.0
brasil registra abortos dia meninas anos estupradas,1.0
nunca use escada rolante parada funcionamento boato,0.0
butantan admite licenciamento após hospital afirmar desenvolveu tecnologia butanvac,1.0
futebol bagunçado caro alegria brasileiro,1.0
funciona assim eleitos vereadores mudanças lei eleitoral,1.0
steve hotze certo dizer vacinas realidade terapias genéticas experimentais boato,0.0
prefeitura rio suspende todos pagamentos segunda ordem,1.0
globo news publica foto falsa manifestação pró bolsonaro copacabana boato,0.0
apuração eleição brasileira aberta qualquer pessoa contrário afirma post,0.0
verdade umar cobrar perseguir picar vezar jovem índio,0.0
exoneração diretor recebida sinal bolsonaro forçar pedido demissão moro,1.0
marcelo álvaro antônio exonerado ministério turismo,1.0
fake foto mostre doria cadeira rodas lado pessoas máscara após pegar covid,0.0
coronavírus mundo ultrapassa milhões casos mortes chegam mil diz oms,1.0
registro dilma recomendado vacinação comece segunda dose,0.0
padre fábio melo faz texto sobre massacre suzano armas famílias boato,0.0
fake gravação hospital mostre teatro covid ceará,0.0
comparação papa bolsonaro máscara ignora estágio pandemia dois países,0.0
máscaras ineficazes contra coronavírus permitidas aeroportos decide anvisa,1.0
bolsonaro compartilha conteúdo falso instagram oculta postagem presidente,1.0
patinador cego faz performance gelo som cumparsita mostra vídeo boato,0.0
usar verba precatórios novo programa social proposta esdrúxula diz assessor guedes,1.0
datafolha brasileiros acham vacinação contra covid lenta deveria,1.0
carol solberg patrocinada banco brasil ganha bolsa atleta perdeu patrocínio betmotion boato,0.0
fake vídeo mostre marilena chauí alcoolizada após acidente trânsito,0.0
ong cantinho amigo bicho vai ganhar tonelada ração compartilhamentos boato,0.0
datafolha isentam bolsonaro culpa mortes pandemia principal culpado,1.0
novo ministro turismo celebra aeroportos hotéis lotados país,1.0
major olímpio morreu covid morreu avc diz assessor boato,0.0
oms volta atrás razão bolsonaro pede fim isolamento social quer pessoas voltem trabalho boato,0.0
carrefour iphone pro responder pesquisa compartilhar link boato,0.0
polícia indonésia prende suspeitos invadir hospitais roubar corpos vítimas covid,1.0
jejum horas controlar síndrome metabólica,1.0
marcelo freixo lamenta morte elias maluco publicação twitter boato,0.0
ibope rio branco minoru kinpara socorro bocalom,1.0
demarcação terra indígena roraima relação alta preço arroz,0.0
bolsonaro diz faz campanha eleitoral live expediente,1.0
situação brasil alerta coronavírus exige atenção contínua autoridades diz diretora opas,1.0
pesquisadores identificam possível nova variante coronavírus,1.0
fake vídeo mostre cédulas votos trump sendo queimadas eua,0.0
rui costa governador bahia pede prefeita porto seguro invente casos coronavírus boato,0.0
pazuello mentiu cpi bolsonaro governa finge internet,1.0
repórter pergunta médico negro tomou vacina bahia motorista socorrista boato,0.0
retomar aulas prioridade preservar vida prioridade zero,1.0
ano ter contraído covid paciente relata dor falta olfato,1.0
postagens sobre transposição francisco inflam responsabilidade governo bolsonaro andamento obras,0.0
estudo publicado damares atribui suicídios crianças isolamento,0.0
brasil milhões vacinados aplica dose,1.0
mourão toma dose coronavac diz nada ver cpi,1.0
veja fotos eclipse solar total américa sul,1.0
vasco anuncia demissões clube fala acordo débitos atraso,1.0
fux diz meio ambiente eixos atuação presidência stf,1.0
coisa burrice estado arte depoimento diretor pfizer,1.0
vídeo mostra exato momento queda kevin prédio,0.0
bolsonaro demitiu funcionários ganhavam mil empresa trem bala nunca existiu boato,0.0
araújo executor fiel bolsonaro caiu conjunto diz ricupero,1.0
globo usou imagens tragédia lampedusa bergamo boato,0.0
fake vídeo multidão argentina mostre protesto contra medidas isolamento pandemia,0.0
texto usa erroneamente dados preliminares ligar queda homicídios aumento armas fogo,0.0
união europeia eleva moderado alto risco novo coronavírus,1.0
braide lidera ibope luís dois empate técnico,1.0
boticário presente dia mães site whatsapp boato,0.0
governo federal reúne representantes indústrias medicamentos soluções emergenciais,1.0
golpe ong doar filhote spitz shih tzu facebook,0.0
vídeo mostra estrela belém junção júpiter saturno vista chile boato,0.0
fake tendas triagem unicamp covid desmontadas falta pacientes,0.0
fake áudio fala afastar ministros stf feito general braga netto,0.0
vivendo doença desespero diz autor questionou isolamento,1.0
fake foto mostre joice hasselmann máscara hospital após contrair covid,0.0
totalmente equivocado diz taurus sobre governo comprar armas exterior,1.0
máscaras chinesas revelam vermes colocadas vapor mostra vídeo boato,0.0
senado proíbe fechamento hospitais campanha,1.0
alfred hitchcock ensinar curar parir fascismo,0.0
apoiadores bolsonaro gritam renan vagabundo ato pró governo,1.0
fato fake ano quase boatos checados declarações verificadas,0.0
índia registra milhões casos covid,1.0
post engana afirmar empresas exigem vacinação ceo pfizer imunizou,0.0
francesas desafiam igreja católica candidatam cargos proibidos mulheres,1.0
milhões pessoas ainda vacinaram contra gripe,1.0
bancos estendem prazo negativação clientes inadimplentes,1.0
enfermeira sandra guerra demitida postar vídeo uti vazia bahia boato,0.0
bolsonaro expulso jogo flamengo athletico sob gritos bolsonaro mostra vídeo boato,0.0
dilma disse vacina chinesa funcionará porque vírus veio china,0.0
conselho pune procuradora insinuou maia recebeu propina aprovar previdência,1.0
fiocruz entrega milhões doses vacinas contra covid nesta semana,1.0
brasil mortes coronavírus horas revela consórcio veículos imprensa total,1.0
governo altera regimento interno comissão mortos desaparecidos presidente órgão fim atividades,1.0
fake ministro afastou witzel soltou queiroz interrompeu investigação flávio bolsonaro,0.0
campo refugiados palestinos líbano registra primeiro caso coronavírus diz onu,1.0
fake foto mostre flor rara himalaia floresce cada anos,0.0
vladimir putin faz discurso contra ideologia gênero nova ordem mundial homossexualismo boato,0.0
dilma rousseff confirmar atacar hacker ministrar sérgio morar,0.0
américa sul tornou novo epicentro covid brasil país afetado diz oms,1.0
cvm orienta empresas informarem impactos coronavírus,1.0
casos covid caem nova york polêmica sobre isolamento cresce eua,1.0
reação governadores apenas reforça marketing populista bolsonaro,1.0
entra justiça impedir bolsonaro acabe seca nordeste boato,0.0
juventus anuncia zagueiro rugani covid caso assintomático,1.0
verdade coração único órgão desenvolver câncer,0.0
falso mst destruído estação energia amapá,0.0
genival lacerda morreu hoje anos recife após sofrer avc boato,0.0
instituto butantan cria drive thru testes covid shopping zona sul,1.0
saúde pfizer tentará antecipar lote doses trimestre,1.0
texto engana dizer pandemia declina após zerar excesso mortes,0.0
juíza nega recurso mantém prisão sócios avianca lava jato,1.0
covid itália queda número mortes diárias pacientes uti,1.0
geração engenheira ampliou oferta leitos covid transforma colaboração,1.0
verificações afp português sobre novo coronavírus,0.0
tse vendeu eleição paulo boulos esquerda boato,0.0
mec revoga portaria fazia volta aulas presenciais universidades,1.0
governo negociará valor auxílio,1.0
homem fez papel diabo vencendo jesus carnaval morreu boato,0.0
pari campo belo têm maiores taxas mortes covid cidade raposo tavares alta óbitos,1.0
êxito louis vuitton compensa queda vendas grupo luxo lvmh,1.0
brasil mortes casos confirmados novo coronavírus diz ministério,1.0
marcelo crivella cumpriu metas prefeito rio,0.0
mst invade brumadinho roubar vítimas tragédia boato,0.0
slime caseiro pode causar alergias pele queimaduras segundo grau diz especialista,1.0
juiz manda reabrir restaurantes diz mídia impõe medo desespero,1.0
celso pede manifestação agu pgr ação rede contra foro flávio,1.0
sair casa vez semana transporte situação brasileiros bolívia,1.0
celso mello sobre bolsonaro mentes autocráticas buscam via tortuosa,1.0
facebook anuncia compra telegram bilhões boato,0.0
homem enterrado vivo retirado túmulo horas boato,0.0
defesa orienta militares participar desfiles setembro evitar aglomerações,1.0
macron frança querem anexar amapá guiana francesa boato,0.0
stf decide dinheiro público roubado pode devolvido após cinco anos boato,0.0
quarentena itália cristiano ronaldo treina filho veja,1.0
coronavírus decreto proíbe acesso piscinas naturais maragogi,1.0
filho joão doria festa aniversário pessoas durante quarentena coronavírus boato,0.0
novo coronavírus cura,1.0
sanofi gsk adiam pesquisa vacina contra covid revés luta contra pandemia,1.0
centro contingência descarta reabrir hospitais campanha,1.0
lula vendeu exploração solo brasil canadá boato,0.0
pandemia coronavírus ameaça milhões desalojados mundo,1.0
itália reabrirá escolas apenas setembro diz premiê,1.0
departamento justiça eua divulga corrupção lula dilma boato,0.0
governo investiga professores manifestação desapreço presidente,1.0
motivos explicam casos covid voltaram crescer brasil,1.0
fake nóis ano casar varginha,0.0
joe biden apoiar transição gênero criança ano,0.0
espere chegar fundo poço saiba onde conseguir terapia gratuita barata rio,1.0
secretário comunicação fábio wajngarten coronavírus diz governo,1.0
carro fugir polícia saltar rampa caminhão guinchar verdade,0.0
oms reclassifica conceito jovem meia idade idoso boato,0.0
ministrar ricardo salles envenenar ecoterroristas infarto,0.0
vídeo mostra mil bois carretas fazenda lula félix xingu boato,0.0
fake mensagem lista cidades morte internação covid após adoção tratamento precoce,0.0
fake vídeo mostre presos comemorando decisão stf contra prisão instância soltura lula,0.0
campanha lira bolsonaro reserva agenda receber deputados,1.0
grupo idosos funcionários abrigo ganha festa após curar covid deixar isolamento vídeo,1.0
moto play moto plus chegam brasil partindo,1.0
inglaterra médico cuida cirurgião covid salvou anos,1.0
coronavírus hong kong registra morte china fecha duas cidades,1.0
itamaraty irá manter lealdade trump final processo,1.0
patricia abravanel faz selfie máscara viseira look dia,1.0
ditadura bolsonaro liga duas fotos lula fhc,1.0
ministério confunde dizer coronavírus transmitido,0.0
bancos reforçam medidas garantir atendimento manaus,1.0
ter trauma todo apenas preocupado covid minimiza bolsonaro,1.0
brasil mortes casos confirmados novo coronavírus diz ministério saúde,1.0
fake perfis carlos bolsonaro redes sociais retirados ordem gilmar mendes,0.0
pedido recuperação latam eua expõe vulnerabilidade setor aéreo,1.0
bolsonaro critica foco vacinas diz pandemia usada politicamente,1.0
saques aves porcos gravados argentina durante protestos colômbia,0.0
ministro pazuello visita novo prédio pesquisas ufrj,1.0
dono havan umar moto parir entregador uber eats zombar miss,0.0
simpsons prever assassinato george floyd protesto eua,0.0
inflar economia brasil áudio inventa mercedes esgotou produção,0.0
sabe sobre remédio regeneron trump prometeu distribuir gratuitamente americanos,1.0
cientistas peruanos criam teste detectar covid minutos,1.0
weintraub indicado trump banco mundial monitora receita federal coaf,0.0
enganoso dizer vídeo vagões contêineres empilhados primeiro trem trajeto porto santos,0.0
secretária saúde polarização esdrúxula afasta bons profissionais,1.0
verdade curitibano registrar filhar nome ameno dorime,0.0
protocolo italiano contra covid relação tratamento precoce,1.0
fake vídeo mostre extração pérolas amazônia,0.0
vídeo mostrar canibalismo verdadeiro falsar,0.0
ifood fazendo propaganda contra bolsonaro notas fiscais boato,0.0
crédito microempresas chega bancos agosto,1.0
jornalistas globo usaram vermelho dia lula solto,0.0
médico secretário denunciados cobrar consultas posto,1.0
proposta obriga planos saúde pagarem vacina contra covid,1.0
tris idem witzel afastado cargo pastor everardo preso,1.0
prefeito manaus diz profissionais saúde covid,1.0
tuíte engana afirmar ferrovia sol vias implementada,0.0
onu brasil vai contramão elogia trump luta contra racismo,1.0
verdade kid bengala abandonou filmes adultos virar evangélico,0.0
fake fundadora the body shop revelou livro cacique raoni deu golpe milionário,0.0
vacina fiocruz minas ufmg avança testes laboratório,1.0
coronavírus fifa alerta contra reinício futebol cedo pandemia,1.0
estudar cdc mostrar ineficácia máscara pandemia covid,0.0
rodrigo pacheco afirma preciso reconhecer vulnerabilidade social apesar teto gastos,1.0
vídeo gravado bahia usado falsamente ligar mst apagão amapá,0.0
voluntários testes começam descobrir tomaram placebo coronavac,1.0
covid corrupção erros acertos crivella paes debate globo,0.0
canadá compartilhará eventuais excedentes vacinas promete trudeau,1.0
senado aprova maior proteção profissionais expostos coronavírus,1.0
terapia reverteu câncer ainda ofertada larga escala,1.0
positivos covid itália podem vezes diz estudo,1.0
prf apreende caminhão milhões dólares outros partidos boato,0.0
porto destruído líbano vive temor desabastecimento fome,1.0
bolsonaro grande derrotado nessa campanha diz jilmar tatto,1.0
stalin disse vota vota conta nada conta votos realmente importa boato,0.0
fake estátua che guevara retirada cidade após eleição bolsonaro,0.0
brasil casos confirmados novo coronavírus alta casos suspeitos diz ministério,1.0
fake presidente oab aparece foto lado battisti,0.0
comitê colapso propõe ampliar fase emergencial dias,1.0
fake ministério saúde repassa mil hospitais cada morte covid,0.0
respostas perguntas frequentes sobre coronavírus,1.0
fake imagem mostra balão rosto lula penitenciária,0.0
data fabricação vacina chinesa abril revela plano maléfico china boato,0.0
parciais eleições alternaram vezes vitória aécio dilma,0.0
entidades médicas divulgam documento recomendações triagem pacientes utis,1.0
militares saúde entendem guerra diz presidente anvisa,1.0
reino unido registra mortes decorrência covid,1.0
fazer dinheiro chegar microempresários prioridade diz rodrigo maia,1.0
site usa texto sobre boa aprovação lula tratar apoio bolsonaro,0.0
fake número mortes doenças respiratórias ceará menor,0.0
conserto dique eua significa retomada construção muro fronteira méxico,0.0
moderna diz preço vacina contra covid garantirá acesso amplo,1.0
governadores criticam bolsonaro desautorizar compra coronavac,1.0
fake vídeo mostre crianças deitadas chão dor causa coronavírus china,0.0
antes comprar coronavac bolsonaro precisa conhecer preço centrão,1.0
corintiano oferece esposa troca ingressos final paulistão boato,0.0
uol transmite debate candidatos prefeito mauá,1.0
parlamentar velho senado josé maranhão morre covid,1.0
agricultores familiares américa latina relatam dificuldades venda alimentos durante pandemia diz pesquisa,1.0
cristiano ronaldo vai transformar hotel hospital tratar pacientes coronavírus boato,0.0
artistas cubanos eua gravam música levanta capitão bolsonaro boato,0.0
após stf anular sentença moro juiz condena gerentes petrobras,1.0
xiaomi trabalha máscara desinfecta sozinha permite ver rosto,1.0
berlusconi internado mônaco arritmia cardíaca,1.0
vídeo mostra prefeito tianguá quadra poliesportiva lula,0.0
imunidade rebanho bolsonaro mandou país morte diz membro cpi,1.0
linguiça marca autêntica bragança feita carne cachorro boato,0.0
vinícolas reabrem experiências livre degustações online,1.0
lindbergh farias flagrado comprando drogas morro vidigal rio janeiro boato,0.0
analisar principal provar apresentar pelar pavão misterioso,0.0
estrangeiros vivem angústia ficar confinados wuhan,1.0
ambev fabricará doará milhões máscaras proteção facial feitas pet,1.0
vídeo engana mostrar parcial enquete sobre voto presidente,0.0
após polêmica bolsonaro faz recomendação sobre covid redes sociais,1.0
informação associa saída ministros franceses cloroquina falsa,0.0
urna picape equipamento reposição máquina adulterada partidários sarto,0.0
brasil chega mil mortos covid média móvel óbitos,1.0
juíza exposição documento sigiloso imprensa pode prejudicar imagem flávio,1.0
troca cédulas reais aprovada implementada bolsonaro boato,0.0
itália começa planejar distribuição vacinas contra covid,1.0
comunismo instalado supermercado garibaldi rio grande sul boato,0.0
coronavírus rio mortes casos confirmados,1.0
